City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cape Town,ZA,-33.9258,18.4232,58.37,86,75,8.05,light rain
80,Ravar,IR,31.2656,56.8055,82.89,13,7,3.06,clear sky
81,Olafsvik,IS,64.8945,-23.7142,51.19,91,100,16.17,overcast clouds
82,Ancud,CL,-41.8697,-73.8203,45.23,87,100,11.81,light rain
83,Hobart,AU,-42.8794,147.3294,51.26,80,75,4.61,broken clouds
84,Tasiilaq,GL,65.6145,-37.6368,42.96,74,100,1.59,overcast clouds
85,Arman,RU,59.7,150.1667,86.02,76,34,5.97,scattered clouds
86,Imbituba,BR,-28.24,-48.6703,62.1,99,13,8.99,few clouds
87,Fairbanks,US,64.8378,-147.7164,74.23,63,40,10.36,light rain
88,Bathsheba,BB,13.2167,-59.5167,83.01,90,75,21.85,broken clouds
89,Bluff,NZ,-46.6,168.3333,43.81,68,55,4.29,broken clouds
90,Nanortalik,GL,60.1432,-45.2371,41.54,94,54,8.48,broken clouds
91,Salalah,OM,17.0151,54.0924,77.09,100,100,9.22,light intensity drizzle
92,Talnakh,RU,69.4865,88.3972,45.21,73,49,16.35,scattered clouds
93,Ulaanbaatar,MN,47.9077,106.8832,57.33,72,0,2.24,clear sky
94,Te Anau,NZ,-45.4167,167.7167,40.82,73,38,2.89,scattered clouds
95,Provideniya,RU,64.3833,-173.3,49.77,89,100,11.36,overcast clouds
96,Rocha,UY,-34.4833,-54.3333,62.24,94,99,15.35,moderate rain
97,Namibe,AO,-15.1961,12.1522,62.37,83,0,2.57,clear sky
98,Kapaa,US,22.0752,-159.319,84.52,71,0,16.11,clear sky
99,Veriora,EE,58.0079,27.3551,54.37,85,80,4.92,broken clouds
100,Saint-Pierre,RE,-21.3393,55.4781,68.92,68,0,13.8,clear sky
101,Skjervoy,NO,70.0311,20.9714,50.0,85,17,1.1,few clouds
102,Anyang,CN,36.0994,114.3289,79.27,69,81,16.44,broken clouds
103,Cockburn Town,TC,21.4612,-71.1419,81.77,83,100,20.58,overcast clouds
104,Sola,VU,-13.8833,167.55,83.07,89,75,2.3,light intensity drizzle
105,Faanui,PF,-16.4833,-151.75,78.12,72,82,18.88,broken clouds
106,Gaziantep,TR,37.0594,37.3825,71.53,60,0,11.5,clear sky
107,Ambilobe,MG,-13.2,49.05,67.35,69,18,6.91,few clouds
108,Lagoa,PT,39.05,-27.9833,67.53,71,98,9.19,overcast clouds
109,Burgeo,CA,47.6167,-57.6152,52.23,87,0,13.02,clear sky
110,Souillac,MU,-20.5167,57.5167,66.58,82,40,10.36,light rain
111,Lorengau,PG,-2.0226,147.2712,84.47,70,82,12.59,broken clouds
112,Aklavik,CA,68.2191,-135.0107,67.23,50,18,15.14,few clouds
113,Asau,RO,46.4333,26.4,64.96,80,94,3.58,overcast clouds
114,Cerrito,CO,6.8432,-72.694,52.84,91,100,6.71,overcast clouds
115,Tessalit,ML,20.1986,1.0114,91.15,10,79,8.03,broken clouds
116,Ayr,GB,55.4627,-4.6339,58.98,94,75,9.22,broken clouds
117,Khatanga,RU,71.9667,102.5,48.2,87,100,3.27,overcast clouds
118,Monrovia,LR,6.3005,-10.7969,76.1,86,100,10.83,light rain
119,Puerto Ayora,EC,-0.7393,-90.3518,71.55,91,98,5.99,overcast clouds
120,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,71,75,11.5,light rain
121,Lavrentiya,RU,65.5833,-171.0,51.53,79,100,10.89,overcast clouds
122,Hithadhoo,MV,-0.6,73.0833,83.25,75,100,6.62,light rain
123,Funadhoo,MV,6.15,73.2667,81.5,78,87,16.06,heavy intensity rain
124,Ribeira Grande,PT,38.5167,-28.7,68.14,77,98,10.56,overcast clouds
125,Victoria,HK,22.2855,114.1577,89.26,77,49,8.99,scattered clouds
126,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,40,10.36,light rain
127,Lakatoro,VU,-16.0999,167.4164,82.27,70,56,14.99,broken clouds
128,Vao,NC,-22.6667,167.4833,76.5,74,89,20.07,overcast clouds
129,Carnarvon,AU,-24.8667,113.6333,66.72,82,100,19.37,overcast clouds
130,Esperance,AU,-33.8667,121.9,57.94,67,6,22.75,clear sky
131,Quelimane,MZ,-17.8786,36.8883,63.21,88,1,1.45,clear sky
132,Tokmak,UA,47.2514,35.7058,65.91,59,86,6.64,overcast clouds
133,Ilulissat,GL,69.2167,-51.1,50.02,71,98,6.91,overcast clouds
134,Verkhnevilyuysk,RU,63.4453,120.3167,59.63,96,100,2.33,light rain
135,Coihaique,CL,-45.5752,-72.0662,33.75,100,100,0.0,fog
136,Bonavista,CA,48.6499,-53.1147,55.26,82,89,13.44,overcast clouds
137,Nador,MA,35.174,-2.9287,73.65,83,0,0.0,clear sky
138,Yellowknife,CA,62.456,-114.3525,73.92,53,75,4.61,smoke
139,Hassleholm,SE,56.1591,13.7664,54.25,96,36,5.48,scattered clouds
140,Fortuna,US,40.5982,-124.1573,70.93,72,20,5.99,few clouds
141,Giaginskaya,RU,44.8621,40.0719,65.17,90,7,2.42,clear sky
142,Chegdomyn,RU,51.1167,133.0167,72.79,79,99,6.96,moderate rain
143,Kjollefjord,NO,70.9457,27.3465,51.85,93,92,2.3,overcast clouds
144,Pangkalanbuun,ID,-2.6833,111.6167,80.98,76,26,4.05,scattered clouds
145,Narsaq,GL,60.9167,-46.05,52.02,93,30,2.08,scattered clouds
146,Medyn,RU,54.9692,35.8586,58.95,99,100,4.27,light rain
147,Noyabrsk,RU,63.1994,75.4507,62.96,65,7,5.79,clear sky
148,Mogadishu,SO,2.0371,45.3438,75.6,81,100,21.21,overcast clouds
149,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,88,0,19.57,clear sky
150,Pogar,RU,52.554,33.2591,58.6,96,100,5.66,overcast clouds
151,Hilo,US,19.7297,-155.09,90.28,76,75,11.5,broken clouds
152,Clyde River,CA,70.4692,-68.5914,43.03,75,100,6.91,overcast clouds
153,Guerrero Negro,MX,27.9769,-114.0611,72.28,69,15,19.69,few clouds
154,Merrill,US,45.1805,-89.6835,80.37,53,0,4.61,clear sky
155,Bolobo,CD,-2.1667,16.2333,73.47,49,43,0.58,scattered clouds
156,Villa Union,MX,23.2,-106.2333,87.03,81,20,9.06,few clouds
157,Caravelas,BR,-17.7125,-39.2481,70.32,84,1,6.4,clear sky
158,Thompson,CA,55.7435,-97.8558,71.76,83,75,3.44,broken clouds
159,Pacific Grove,US,36.6177,-121.9166,74.01,78,0,10.36,clear sky
160,Constitucion,CL,-35.3333,-72.4167,51.33,85,100,9.73,light rain
161,Tual,ID,-5.6667,132.75,79.34,85,23,23.35,few clouds
162,Mahebourg,MU,-20.4081,57.7,66.49,82,40,10.36,scattered clouds
163,Iqaluit,CA,63.7506,-68.5145,40.73,80,20,8.05,few clouds
164,Puerto Escondido,MX,15.85,-97.0667,82.13,85,73,4.94,broken clouds
165,Pevek,RU,69.7008,170.3133,32.2,97,100,17.38,snow
166,Zhigansk,RU,66.7697,123.3711,58.32,60,92,4.65,overcast clouds
167,Dikson,RU,73.5069,80.5464,33.01,91,98,7.23,overcast clouds
168,Beloha,MG,-25.1667,45.05,58.06,70,0,7.29,clear sky
169,Kamaishi,JP,39.2667,141.8833,78.64,73,100,4.41,light rain
170,Walvis Bay,NA,-22.9575,14.5053,53.1,93,0,4.61,clear sky
171,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,63,100,12.66,overcast clouds
172,Pisco,PE,-13.7,-76.2167,61.02,88,0,12.66,clear sky
173,Sainte-Thecle,CA,46.8168,-72.4991,68.05,62,6,2.8,clear sky
174,Baghdad,IQ,33.3406,44.4009,93.34,18,3,15.99,clear sky
175,Dukat,RU,62.55,155.55,65.8,49,37,2.62,scattered clouds
176,Albina,SR,5.5,-54.05,72.45,97,100,1.97,overcast clouds
177,Sorland,NO,67.667,12.6934,51.66,83,0,5.93,clear sky
178,Deputatskiy,RU,69.3,139.9,55.92,52,67,6.24,broken clouds
179,Ardakan,IR,32.31,54.0175,84.92,13,2,10.6,clear sky
180,Biak,ID,-0.9131,122.8766,78.31,85,92,5.12,overcast clouds
181,Nkhotakota,MW,-12.9274,34.2961,63.43,70,1,4.41,clear sky
182,Xining,CN,36.6167,101.7667,68.31,62,13,3.0,few clouds
183,Mount Isa,AU,-20.7333,139.5,58.77,36,0,11.5,clear sky
184,Surt,LY,31.2089,16.5887,78.26,62,0,9.46,clear sky
185,Beyneu,KZ,45.3167,55.2,77.99,28,0,4.81,clear sky
186,Kaitangata,NZ,-46.2817,169.8464,44.65,65,8,4.47,clear sky
187,Sao Filipe,CV,14.8961,-24.4956,74.01,84,39,8.68,scattered clouds
188,Bethel,US,41.3712,-73.414,78.89,52,0,9.22,clear sky
189,Nanning,CN,22.8167,108.3167,81.05,80,6,5.48,clear sky
190,Guamal,CO,9.1433,-74.2238,81.27,79,93,3.49,overcast clouds
191,Presidente Medici,BR,-11.1753,-61.9014,78.17,52,11,2.8,few clouds
192,Waitati,NZ,-45.75,170.5667,49.8,46,7,2.19,clear sky
193,Mastic Beach,US,40.7668,-72.8521,75.4,77,0,3.44,clear sky
194,Katsuura,JP,35.1333,140.3,76.55,87,100,11.18,overcast clouds
195,Lucea,JM,18.451,-78.1736,84.06,74,100,10.13,overcast clouds
196,Ranong,TH,9.9658,98.6348,78.73,87,100,15.48,light rain
197,Mildura,AU,-34.2,142.15,50.07,89,0,6.02,clear sky
198,Evensk,RU,61.95,159.2333,68.09,52,8,6.11,clear sky
199,Okmulgee,US,35.6234,-95.9605,93.31,43,0,9.22,clear sky
200,Aksarka,RU,66.5606,67.7975,62.71,60,94,11.12,overcast clouds
201,Xuanhua,CN,40.6103,115.0447,75.36,55,10,5.19,clear sky
202,Maningrida,AU,-12.0667,134.2667,75.36,46,25,13.47,scattered clouds
203,Klaksvik,FO,62.2266,-6.589,52.72,97,100,5.86,light rain
204,Maniitsoq,GL,65.4167,-52.9,39.94,91,100,6.93,overcast clouds
205,Ukiah,US,39.1502,-123.2078,88.43,41,0,11.5,clear sky
206,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.26,99,100,2.19,overcast clouds
207,San Luis,AR,-33.295,-66.3356,57.42,33,3,7.38,clear sky
208,Port-Gentil,GA,-0.7193,8.7815,72.39,80,23,14.0,few clouds
209,Ati,TD,13.2154,18.3353,84.52,50,16,11.88,few clouds
210,Alta Floresta,BR,-9.8756,-56.0861,79.57,45,82,2.77,broken clouds
211,San Patricio,US,28.017,-97.5169,94.53,57,96,15.21,overcast clouds
212,Baracoa,CU,20.3467,-74.4958,79.16,85,100,2.28,overcast clouds
213,Mweka,CD,-4.85,21.5667,65.89,48,13,1.66,few clouds
214,Tocopilla,CL,-22.092,-70.1979,63.37,71,100,4.85,overcast clouds
215,San Sebastian,ES,43.3128,-1.975,68.65,84,0,4.61,clear sky
216,Laguna,US,38.421,-121.4238,97.32,32,0,9.22,clear sky
217,Senhor Do Bonfim,BR,-10.4614,-40.1894,66.76,86,97,10.13,overcast clouds
218,Tiznit,MA,29.5833,-9.5,88.66,19,14,3.06,few clouds
219,Ponta Do Sol,PT,32.6667,-17.1,72.12,51,2,2.75,clear sky
220,Saskylakh,RU,71.9167,114.0833,51.3,72,100,6.78,overcast clouds
221,Zonguldak,TR,41.25,31.8333,61.65,96,100,0.96,overcast clouds
222,Riyadh,SA,24.6877,46.7219,86.14,14,100,9.22,overcast clouds
223,Muros,ES,42.7762,-9.0603,70.16,81,99,4.0,overcast clouds
224,Nome,US,64.5011,-165.4064,73.17,55,0,18.41,clear sky
225,Ulaangom,MN,49.9811,92.0667,65.41,51,100,6.73,light rain
226,Viedma,AR,-40.8135,-62.9967,47.62,64,100,8.77,overcast clouds
227,Moba,CN,33.2288,105.0179,69.13,86,99,4.7,overcast clouds
228,Itaituba,BR,-4.2761,-55.9836,76.01,77,75,0.51,broken clouds
229,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75,broken clouds
230,Plettenberg Bay,ZA,-34.0527,23.3716,59.5,73,97,3.06,overcast clouds
231,Vardo,NO,70.3705,31.1107,48.18,93,29,3.44,scattered clouds
232,Longyearbyen,SJ,78.2186,15.6401,43.11,74,26,7.56,scattered clouds
233,Severomorsk,RU,69.0689,33.4162,52.2,89,86,3.31,overcast clouds
234,Troitskoye,RU,52.9821,84.6757,64.83,81,0,6.13,clear sky
235,Khash,IR,28.2211,61.2158,77.86,20,97,6.35,overcast clouds
236,Bongaree,AU,-27.0797,153.1586,65.21,64,5,11.7,clear sky
237,Jiangyou,CN,31.7667,104.7167,84.18,74,23,2.98,few clouds
238,Havelock,US,34.8791,-76.9013,84.94,89,0,8.05,clear sky
239,Vila Velha,BR,-20.3297,-40.2925,66.15,94,40,2.3,scattered clouds
240,Beira,MZ,-19.8436,34.8389,62.69,100,0,4.61,clear sky
241,Carmo Do Rio Claro,BR,-20.9719,-46.1189,59.7,61,6,0.27,clear sky
242,Oistins,BB,13.0667,-59.5333,82.49,78,75,21.85,broken clouds
243,Tazovskiy,RU,67.4667,78.7,48.99,76,11,8.37,few clouds
244,Ironton,US,38.5368,-82.6829,74.82,95,40,0.0,scattered clouds
245,Shangrao,CN,28.4532,117.9686,89.62,67,43,1.16,scattered clouds
246,San Quintin,MX,30.4833,-115.95,70.68,73,11,15.9,few clouds
247,San Andres,CO,12.5847,-81.7006,84.22,79,75,10.36,broken clouds
248,Moa,CU,20.6569,-74.9403,80.33,84,100,6.8,overcast clouds
249,El Pueblito,MX,20.5333,-100.45,74.39,48,38,15.66,scattered clouds
250,Hambantota,LK,6.1241,81.1185,79.14,78,40,5.75,scattered clouds
251,Katherine,AU,-14.4667,132.2667,66.52,34,6,13.8,clear sky
252,Korla,CN,41.7597,86.1469,82.78,12,41,8.7,scattered clouds
253,Saurimo,AO,-9.6608,20.3916,55.53,50,5,4.14,clear sky
254,Sorong,ID,-0.8833,131.25,81.46,77,16,3.96,few clouds
255,Cidreira,BR,-30.1811,-50.2056,62.26,93,26,14.32,scattered clouds
256,Nemuro,JP,43.3236,145.575,58.19,99,100,16.13,overcast clouds
257,Castro Alves,BR,-12.7656,-39.4283,64.38,96,4,5.26,clear sky
258,Pemba,MZ,-12.974,40.5178,71.29,78,1,8.84,light rain
259,Grand Gaube,MU,-20.0064,57.6608,66.6,65,23,25.12,few clouds
260,Paka,MY,4.6374,103.4368,76.98,100,40,0.0,light rain
261,Plainview,US,40.7765,-73.4673,77.47,63,0,6.91,clear sky
262,Kudahuvadhoo,MV,2.6708,72.8944,82.29,74,89,14.76,moderate rain
263,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,85,5,6.26,clear sky
264,Mendi,PG,-6.1761,143.6513,67.46,69,73,3.29,broken clouds
265,Grindavik,IS,63.8424,-22.4338,51.75,100,100,17.27,overcast clouds
266,Ornskoldsvik,SE,63.2909,18.7153,50.95,100,75,4.61,broken clouds
267,Nisia Floresta,BR,-6.0911,-35.2086,75.58,93,37,7.34,scattered clouds
268,Latur,IN,18.4,76.5833,70.48,95,100,14.7,overcast clouds
269,Saint-Philippe,RE,-21.3585,55.7679,65.79,74,64,14.14,broken clouds
270,Kirakira,SB,-10.4544,161.9205,84.22,71,18,6.2,few clouds
271,Beaufort,MY,5.3473,115.7455,81.09,69,73,1.86,broken clouds
272,Fort-Shevchenko,KZ,44.5086,50.263,78.01,47,10,15.1,clear sky
273,Abatskoye,RU,56.2875,70.4555,64.85,83,71,5.95,broken clouds
274,Lokosovo,RU,61.1333,74.8167,67.57,75,40,7.76,scattered clouds
275,Hofn,IS,64.2539,-15.2082,49.95,91,100,8.21,overcast clouds
276,Charlottesville,US,38.0293,-78.4767,70.45,96,100,6.91,overcast clouds
277,Kathmandu,NP,27.7167,85.3167,71.82,94,75,0.0,broken clouds
278,Marrakesh,MA,31.6315,-8.0083,89.67,18,67,0.0,broken clouds
279,Kiunga,PG,-6.1219,141.2906,79.84,84,100,3.36,overcast clouds
280,Sozopol,BG,42.4167,27.7,73.74,71,100,12.48,overcast clouds
281,Jorochito,BO,-18.05,-63.4333,79.0,52,46,11.14,scattered clouds
282,Ambon,ID,-3.6954,128.1814,77.14,94,75,4.61,light rain
283,Sulangan,PH,11.1373,123.7228,82.89,75,94,4.83,overcast clouds
284,Namuac,PH,18.6109,121.1657,85.48,72,100,4.94,overcast clouds
285,Warrington,GB,53.3925,-2.5802,61.52,92,40,10.36,scattered clouds
286,Bundaberg,AU,-24.85,152.35,64.22,50,0,5.01,clear sky
287,Lidice,PA,8.75,-79.9,79.7,90,100,6.08,overcast clouds
288,High Level,CA,58.5169,-117.136,71.71,46,75,6.91,broken clouds
289,That Phanom,TH,16.9364,104.7104,78.82,90,100,3.87,overcast clouds
290,Ca Mau,VN,9.1769,105.15,78.51,85,100,9.91,overcast clouds
291,Cocobeach,GA,1.0002,9.5823,74.41,82,100,8.63,overcast clouds
292,Teahupoo,PF,-17.8333,-149.2667,78.76,72,84,16.91,broken clouds
293,Mattru,SL,7.6244,-11.8332,72.99,98,100,3.47,moderate rain
294,Codrington,AU,-38.2667,141.9667,52.38,74,5,9.15,clear sky
295,Oranjestad,AW,12.524,-70.027,82.35,83,40,20.71,scattered clouds
296,Lebu,CL,-37.6167,-73.65,48.78,85,53,12.21,broken clouds
297,Boa Vista,BR,2.8197,-60.6733,82.38,69,75,5.75,broken clouds
298,Erenhot,CN,43.6475,111.9767,77.94,25,0,8.34,clear sky
299,Ratnagiri,IN,16.9833,73.3,79.56,86,100,17.85,moderate rain
300,Marzuq,YE,14.4,46.4667,75.88,39,100,6.11,overcast clouds
301,Umea,SE,63.8284,20.2597,51.73,93,75,2.3,broken clouds
302,Qianguo,CN,45.1171,124.8568,80.56,54,26,13.82,scattered clouds
303,Ust-Kulom,RU,61.6864,53.6902,62.71,67,92,0.96,overcast clouds
304,Yulara,AU,-25.2406,130.9889,51.85,45,0,10.63,clear sky
305,Harper,LR,4.375,-7.7169,75.99,76,100,9.84,overcast clouds
306,Kungurtug,RU,50.5994,97.5228,59.52,60,100,1.28,overcast clouds
307,Salinopolis,BR,-0.6136,-47.3561,77.07,86,100,8.3,overcast clouds
308,Bilibino,RU,68.0546,166.4372,39.43,93,100,5.23,overcast clouds
309,Chokurdakh,RU,70.6333,147.9167,62.17,35,0,9.13,clear sky
310,Haines Junction,CA,60.7522,-137.5108,67.95,42,41,12.66,scattered clouds
311,Colares,PT,38.7992,-9.4469,80.46,78,0,10.29,clear sky
312,Hailey,US,43.5196,-114.3153,84.79,22,0,9.22,clear sky
313,Itarema,BR,-2.9248,-39.9167,78.37,78,93,12.62,overcast clouds
314,Belaya Gora,RU,68.5333,146.4167,60.13,53,92,9.37,overcast clouds
315,Sawakin,SD,19.1059,37.3321,90.07,51,92,26.42,overcast clouds
316,Aranjuez,ES,40.0311,-3.6025,86.09,26,0,8.23,clear sky
317,Marawi,PH,7.9986,124.2928,77.22,75,96,6.82,overcast clouds
318,Tautira,PF,-17.7333,-149.15,76.84,73,93,16.89,overcast clouds
319,Labuhan,ID,-6.8844,112.2051,77.54,77,6,6.53,clear sky
320,Ketchikan,US,55.3422,-131.6461,57.67,94,100,10.36,light rain
321,Kieta,PG,-6.2167,155.6333,84.78,65,42,8.57,scattered clouds
322,Ixtapa,MX,20.7,-105.2,86.23,78,73,3.0,broken clouds
323,Zhezkazgan,KZ,47.8043,67.7144,58.98,77,0,8.95,clear sky
324,Kabanjahe,ID,3.1001,98.4908,65.95,85,99,4.54,overcast clouds
325,San-Pedro,CI,4.7485,-6.6363,75.6,81,100,7.96,overcast clouds
326,Meulaboh,ID,4.1363,96.1285,77.23,81,99,3.49,heavy intensity rain
327,Srednekolymsk,RU,67.45,153.6833,60.19,41,47,5.28,scattered clouds
328,Babayurt,RU,43.6002,46.7789,72.9,54,0,13.51,clear sky
329,Berdigestyakh,RU,62.0989,126.6992,55.13,97,100,5.37,light rain
330,Lata,PT,40.1629,-8.3327,66.33,56,0,1.97,clear sky
331,Shimoda,JP,34.6667,138.95,80.96,88,100,4.83,overcast clouds
332,Auki,SB,-8.7676,160.7034,85.17,64,24,3.58,few clouds
333,Laje,BR,-10.1833,-40.9667,66.61,88,10,12.37,clear sky
334,Hasaki,JP,35.7333,140.8333,84.29,88,100,14.52,overcast clouds
335,Marsassoum,SN,12.8275,-15.9806,80.69,90,69,5.26,light rain
336,Nalut,LY,30.3333,10.85,77.22,46,32,19.22,scattered clouds
337,Naze,JP,28.3667,129.4833,85.12,80,1,7.7,clear sky
338,Tiarei,PF,-17.5333,-149.3333,84.22,73,54,19.51,broken clouds
339,Mecca,SA,21.4267,39.8261,85.44,22,94,4.56,overcast clouds
340,Flinders,AU,-34.5833,150.8552,58.17,86,69,5.99,light rain
341,Selma,US,36.5708,-119.6121,98.35,26,0,10.36,clear sky
342,Tlanchinol,MX,20.9833,-98.65,66.74,84,20,4.09,few clouds
343,Miles City,US,46.4083,-105.8406,94.17,29,0,11.5,clear sky
344,Leningradskiy,RU,69.3833,178.4167,36.48,91,100,8.7,overcast clouds
345,Ostrovnoy,RU,68.0531,39.5131,46.81,91,90,4.0,overcast clouds
346,Hamina,FI,60.5697,27.1979,56.48,82,97,4.9,overcast clouds
347,Galveston,US,29.3669,-94.9669,94.17,69,15,4.0,few clouds
348,Omboue,GA,-1.5746,9.2618,69.53,87,32,6.91,scattered clouds
349,Niksar,TR,40.5917,36.9517,64.89,86,98,3.18,overcast clouds
